Marca temporal;¿Cuál es su edad?;situación laboral;nivel de estudios;ingresos personales brutos anuales;Cuál su situación;ciudad o poblado;CCAA;dispuesto a contratar;capaz de realizar las tareas domésticas;veces ha buscado ayuda;entorno cercano;remunerado;
6/16/2022 15:54:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;No;No;
6/16/2022 15:55:20;26-35;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;2;Sí;Sí;
6/16/2022 15:58:59;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 17:04:56;18-25;Estudiante;Bachillerato;1.000€-10.000€;Vive acompañado/a;Ciudad;Castilla y León;Sí;Sí;5;Sí;Sí;
6/16/2022 17:12:38;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;No;
6/16/2022 17:16:36;18-25;Empleado/a;Grado Universitario u otro grado superior;60.000€-100.000€;Comparte alojamiento;Ciudad;Comunidad de Madrid ;Sí;Sí;0;Sí;No;
6/16/2022 18:32:53;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 22:21:15;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;3;Sí;Sí;
6/16/2022 22:22:48;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;No;0;Sí;Sí;
6/16/2022 22:22:54;36-45;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 22:26:53;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;No;>=7;Sí;Sí;
6/16/2022 22:28:32;+65;Jubilado/a;Sin estudios;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;1;Sí;No;
6/16/2022 22:29:20;36-45;encargado/a del hogar;ESO;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;No;Sí;
6/16/2022 22:36:01;56-65;Jubilado/a;Bachillerato;10.000€-20.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/16/2022 22:44:07;18-25;Desempleado/a de corta duración;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 22:44:11;18-25;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 22:47:18;18-25;Estudiante;Máster;1.000€-10.000€;Comparte alojamiento;Ciudad;Italia;No;Sí;0;No;Sí;
6/16/2022 23:42:19;36-45;Empleado/a;Bachillerato;40.000€-50.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;No;
6/17/2022 0:09:26;18-25;Empleado/a;Bachillerato;1.000€-10.000€;Vive acompañado/a;Ciudad;Comunidad Valenciana ;No;Sí;0;Sí;Sí;
6/17/2022 0:45:09;46-55;encargado/a del hogar;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/17/2022 7:51:18;46-55;Desempleado de larga duración (2 años);FP básica;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;No;Sí;
6/17/2022 8:32:49;56-65;Jubilado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/17/2022 9:03:54;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
